City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,hawaiian paradise park,19.5933,-154.9731,78.31,80,100,9.22,US,1732586860
160,tual,-5.6667,132.75,84.18,71,26,0.4,ID,1732586861
161,ribeira grande,38.5167,-28.7,67.77,93,16,10.0,PT,1732586862
162,brokopondo,4.75,-55.1667,79.18,82,80,10.0,SR,1732586863
163,villa emilio carranza,19.9667,-96.6,73.26,77,0,8.03,MX,1732586864
164,christchurch,-43.5333,172.6333,61.92,72,100,18.41,NZ,1732586865
165,tolanaro,-25.0319,46.9987,73.69,94,55,9.19,MG,1732586866
166,alotau,-10.3069,150.4462,82.31,76,100,3.0,PG,1732586868
167,smithers,54.7804,-127.1743,16.25,82,100,0.56,CA,1732586869
168,nangwa,-4.4667,35.45,58.82,92,96,4.41,TZ,1732586870
169,mezhdurechenskiy,59.6,65.9333,26.65,86,39,8.95,RU,1732586871
170,la passe,45.5549,-0.8967,53.94,84,2,12.71,FR,1732586872
171,corinto,37.9407,22.9573,44.89,70,0,0.67,GR,1732586874
172,ghat,24.9647,10.1728,56.68,53,0,3.4,LY,1732586876
173,urbino,43.7298,12.6356,51.13,90,100,4.79,IT,1732586877
174,tripoli,32.8752,13.1875,61.02,59,0,9.19,LY,1732586878
175,shihezi,44.3,86.0333,21.22,80,2,3.91,CN,1732586879
176,afaahiti,-17.75,-149.2833,78.04,82,87,15.61,PF,1732586880
177,gadzhiyevo,69.2551,33.3362,24.62,87,99,8.52,RU,1732586881
178,poirino,44.9208,7.8469,45.95,81,98,4.03,IT,1732586882
179,novodvinsk,64.4165,40.8122,37.15,92,100,12.77,RU,1732586884
180,whitehorse,60.7161,-135.0538,9.37,78,100,0.0,CA,1732586867
181,invercargill,-46.4,168.35,61.02,70,35,18.99,NZ,1732586929
182,anadyr,64.75,177.4833,5.5,85,100,8.95,RU,1732586930
183,new norfolk,-42.7826,147.0587,72.72,33,9,5.35,AU,1732586931
184,pisco,-13.7,-76.2167,68.02,82,0,18.41,PE,1732586637
185,peace river,56.2501,-117.286,-5.49,84,0,4.61,CA,1732586780
186,el alto,-4.2714,-81.2147,65.66,85,21,13.62,PE,1732586935
187,blagoveshchenka,52.8333,79.8667,9.09,95,53,3.22,RU,1732586936
188,axim,4.8699,-2.2405,78.12,85,2,4.63,GH,1732586937
189,oltinko'l,40.8011,72.1634,43.16,40,100,4.56,UZ,1732586938
190,korla,41.7597,86.1469,30.78,57,0,11.21,CN,1732586939
191,kavieng,-2.5744,150.7967,85.12,76,100,13.04,PG,1732586941
192,chu,43.5983,73.7614,34.07,53,65,3.8,KZ,1732586942
193,kailua-kona,19.6406,-155.9956,82.36,72,0,13.8,US,1732586943
194,kavaratti,10.5669,72.642,81.97,67,100,9.86,IN,1732586944
195,georgetown,5.4112,100.3354,84.13,74,20,5.75,MY,1732586907
196,conde,-7.2597,-34.9075,78.26,78,0,4.61,BR,1732586871
197,kruisfontein,-34.0033,24.7314,61.66,85,100,12.5,ZA,1732586948
198,mongo,12.1844,18.693,66.61,25,69,6.53,TD,1732586949
